Date,Open,High,Low,Close,Adj Close,Volume
2023-12-25,2700.000000,2762.000000,2689.500000,2750.500000,2745.410156,3598700
2023-12-26,2726.000000,2742.500000,2668.000000,2673.500000,2668.552734,2117000
2023-12-27,2699.000000,2734.000000,2636.500000,2702.000000,2697.000000,2451000
2023-12-28,2668.000000,2690.000000,2647.000000,2654.000000,2654.000000,1545800
2023-12-29,2624.000000,2625.500000,2555.000000,2569.500000,2569.500000,2954400
2024-01-04,2619.500000,2755.000000,2567.500000,2724.000000,2724.000000,4934500
2024-01-05,2728.500000,2747.000000,2681.000000,2694.500000,2694.500000,2646900
2024-01-09,2720.000000,2803.000000,2720.000000,2794.500000,2794.500000,3427800
2024-01-10,2794.000000,2857.000000,2781.000000,2820.500000,2820.500000,2698600
2024-01-11,2859.000000,2860.000000,2796.500000,2816.000000,2816.000000,2302100
2024-01-12,2866.000000,2866.000000,2721.500000,2736.000000,2736.000000,3385200
2024-01-15,2720.500000,2723.000000,2684.000000,2687.000000,2687.000000,266900
2024-01-16,2720.500000,2723.000000,2568.000000,2569.000000,2569.000000,2571600
2024-01-17,2517.000000,2540.500000,2437.500000,2460.500000,2460.500000,5593000
2024-01-18,2461.500000,2471.000000,2304.500000,2324.500000,2324.500000,5653600
2024-01-19,2329.000000,2344.500000,2256.000000,2274.500000,2274.500000,4990500
2024-01-22,2285.000000,2333.000000,2257.500000,2302.500000,2302.500000,3313500
2024-01-23,2340.000000,2414.000000,2284.500000,2358.000000,2358.000000,9279200
2024-01-24,2410.000000,2533.000000,2410.000000,2524.500000,2524.500000,8484900
2024-01-25,2474.500000,2500.000000,2393.000000,2420.000000,2420.000000,5227400
2024-01-26,2409.500000,2412.000000,2360.000000,2378.000000,2378.000000,2492700
2024-01-29,2370.000000,2402.000000,2349.500000,2366.000000,2366.000000,1907000
2024-01-30,2386.000000,2400.000000,2368.000000,2369.500000,2369.500000,1921600
2024-01-31,2341.500000,2365.000000,2326.500000,2365.000000,2365.000000,1858500
2024-02-01,2343.000000,2359.500000,2286.500000,2306.000000,2306.000000,2485300
2024-02-02,2355.500000,2806.000000,2353.500000,2806.000000,2806.000000,5763100
2024-02-05,2956.000000,3036.000000,2906.000000,2912.500000,2912.500000,13045800
2024-02-06,2953.000000,2999.500000,2897.500000,2944.500000,2944.500000,5987900
2024-02-07,2960.000000,2971.500000,2864.000000,2890.500000,2890.500000,3824400
