Date,positive,negative,naver_trend
2021-07-11,0,0,7.48891
2021-07-12,0,0,9.81623
2021-07-13,0,0,13.11
2021-07-14,0,0,10.66763
2021-07-15,0,0,10.5515
2021-07-16,0,0,9.6548
2021-07-17,0,0,8.27739
2021-07-18,0,0,6.95679
2021-07-19,0,0,9.02632
2021-07-20,0,0,10.95886
2021-07-21,0,0,10.07978
2021-07-22,0,0,10.36813
2021-07-23,0,0,9.38694
2021-07-24,0,0,8.30256
2021-07-25,0,0,6.76443
2021-07-26,0,0,9.13562
2021-07-27,0,0,15.95758
2021-07-28,0,0,10.11178
2021-07-29,0,0,9.50163
2021-07-30,0,0,11.31049
2021-07-31,0,0,9.26865
2021-08-01,0,0,7.28146
2021-08-02,0,0,11.30726
2021-08-03,10.63829,0,13.83592
2021-08-04,0,0,10.75176
2021-08-05,0,0,10.44687
2021-08-06,0,0,10.03951
2021-08-07,0,0,9.01337
2021-08-08,0,0,7.1078
2021-08-09,0,0,9.97982
2021-08-10,0,0,11.31373
2021-08-11,0,0,10.97037
2021-08-12,0,0,11.18357
2021-08-13,0,0,11.64702
2021-08-14,0,0,10.45658
2021-08-15,0,0,8.60709
2021-08-16,0,0,10.58134
2021-08-17,0,0,16.22976
2021-08-18,0,0,13.73525
2021-08-19,0,0,13.89273
2021-08-20,0,0,16.39766
2021-08-21,0,0,9.88023
2021-08-22,0,0,8.10625
2021-08-23,0,0,10.64821
2021-08-24,0,0,12.41357
2021-08-25,0,0,10.94699
2021-08-26,0,0,10.30737
2021-08-27,0,0,9.64185
2021-08-28,0,0,9.11405
2021-08-29,0,0,9.04717
2021-08-30,0,0,9.95322
2021-08-31,0,0,11.80594
2021-09-01,0,0,10.58386
2021-09-02,0,0,10.43968
2021-09-03,0,0,9.45238
2021-09-04,0,0,8.49959
2021-09-05,0,0,7.71147
2021-09-06,0,0,8.50318
2021-09-07,0,0,10.03987
2021-09-08,0,0,11.7743
2021-09-09,0,0,10.48103
2021-09-10,0,0,10.21533
2021-09-11,0,0,9.2309
2021-09-12,0,0,7.95452
2021-09-13,0,0,9.11656
2021-09-14,0,0,10.82799
2021-09-15,0,0,10.27213
2021-09-16,0,0,12.00585
2021-09-17,0,0,11.28712
